City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain in Inches (last 3 hours),Snow in Inches (last 3 hours)
307,Kichera,55.94,110.1,28.35,91,7,6.67,RU,2020-05-10 20:48:19,clear sky,0.0,0.0
308,Niteroi,-22.88,-43.1,77.0,60,20,6.93,BR,2020-05-10 20:45:08,few clouds,0.0,0.0
309,Ixtapa,20.7,-105.2,84.2,62,40,9.17,MX,2020-05-10 20:48:19,scattered clouds,0.0,0.0
310,Khonuu,20.7,-105.2,84.2,62,40,9.17,MX,2020-05-10 20:48:19,scattered clouds,0.0,0.0
311,Milos,36.75,24.43,64.4,63,46,6.93,GR,2020-05-10 20:48:19,light rain,0.0,0.0
312,Bathsheba,13.22,-59.52,84.2,66,40,19.46,BB,2020-05-10 20:48:19,scattered clouds,0.0,0.0
313,Butaritari,3.07,172.79,83.23,78,17,9.04,KI,2020-05-10 20:48:19,few clouds,0.0,0.0
314,Axim,4.87,-2.24,79.52,87,100,6.87,GH,2020-05-10 20:48:19,moderate rain,0.0,0.0
315,Alihe,50.57,123.72,41.32,78,100,0.54,CN,2020-05-10 20:48:19,light rain,0.0,0.0
316,Yingzhong,50.57,123.72,41.32,78,100,0.54,CN,2020-05-10 20:48:19,light rain,0.0,0.0
317,Brindisi,40.58,17.67,62.01,87,0,8.05,IT,2020-05-10 20:48:20,clear sky,0.0,0.0
318,Cabedelo,-6.98,-34.83,82.4,78,20,10.29,BR,2020-05-10 20:48:20,few clouds,0.0,0.0
319,Kesova Gora,57.58,37.29,43.32,67,0,9.17,RU,2020-05-10 20:48:20,clear sky,0.0,0.0
320,North Platte,41.12,-100.77,55.4,37,90,5.82,US,2020-05-10 20:48:20,overcast clouds,0.0,0.0
321,Camacha,33.08,-16.33,66.2,82,40,19.46,PT,2020-05-10 20:46:39,scattered clouds,0.0,0.0
322,Cherskiy,68.75,161.3,37.78,77,9,18.61,RU,2020-05-10 20:48:20,clear sky,0.0,0.0
323,Havre-Saint-Pierre,50.23,-63.6,39.2,64,1,32.21,CA,2020-05-10 20:44:03,clear sky,0.0,0.0
324,Poum,-20.23,164.02,74.64,74,6,7.87,NC,2020-05-10 20:48:21,clear sky,0.0,0.0
325,Labuhan,-6.88,112.21,78.76,88,67,8.63,ID,2020-05-10 20:48:21,light rain,0.0,0.0
326,Yinchuan,38.47,106.27,44.01,22,0,1.01,CN,2020-05-10 20:48:21,clear sky,0.0,0.0
327,Half Moon Bay,37.46,-122.43,73.0,72,1,8.05,US,2020-05-10 20:47:23,clear sky,0.0,0.0
328,Alotau,37.46,-122.43,73.0,72,1,8.05,US,2020-05-10 20:47:23,clear sky,0.0,0.0
329,Karpathos,35.51,27.21,64.4,68,52,8.05,GR,2020-05-10 20:48:21,broken clouds,0.0,0.0
330,Portland,45.52,-122.68,84.99,26,75,12.75,US,2020-05-10 20:43:49,broken clouds,0.0,0.0
331,Trairi,-3.28,-39.27,77.25,83,100,4.23,BR,2020-05-10 20:48:21,light rain,0.0,0.0
332,Monmouth,40.3,-74.17,64.0,25,1,11.41,US,2020-05-10 20:48:22,clear sky,0.0,0.0
333,Tevaitoa,-16.78,-151.5,82.15,79,92,12.21,PF,2020-05-10 20:48:22,overcast clouds,0.0,0.0
334,Luderitz,-26.65,15.16,73.4,33,0,6.93,NA,2020-05-10 20:48:22,clear sky,0.0,0.0
335,Rundu,-17.93,19.77,68.0,49,91,5.82,NA,2020-05-10 20:48:22,overcast clouds,0.0,0.0
336,Wulanhaote,-17.93,19.77,68.0,49,91,5.82,NA,2020-05-10 20:48:22,overcast clouds,0.0,0.0
337,Paucartambo,-17.93,19.77,68.0,49,91,5.82,NA,2020-05-10 20:48:22,overcast clouds,0.0,0.0
338,Alizai,33.54,70.35,74.46,52,99,3.51,PK,2020-05-10 20:48:22,overcast clouds,0.0,0.0
339,Kinlochleven,56.71,-4.97,37.99,69,14,5.99,GB,2020-05-10 20:48:23,few clouds,0.0,0.0
340,Baglung,28.27,83.59,64.47,54,4,5.66,NP,2020-05-10 20:48:23,clear sky,0.0,0.0
341,Oistins,13.07,-59.53,84.2,66,40,19.46,BB,2020-05-10 20:48:23,scattered clouds,0.0,0.0
342,Beloha,-25.17,45.05,64.87,81,0,12.73,MG,2020-05-10 20:48:23,clear sky,0.0,0.0
